Currency,Parent,Growth_2021,MarketCap
Cryptocurrency,,,
Bitcoin,Cryptocurrency,0.22,669828489121.00
Ethereum,Cryptocurrency,2.31,280476337003.00
Tether,Cryptocurrency,0.00,61742542348.00
Cardano,Cryptocurrency,8.04,50624555767.00
Binance Coin,Cryptocurrency,7.68,50455558861.00
XRP,Cryptocurrency,2.81,41731449383.00
Dogecoin,Cryptocurrency,52.62,39571262802.00
USD Coin,Cryptocurrency,0.00,22426226106.00
Polkadot,Cryptocurrency,1.48,19426711593.00
Uniswap,Cryptocurrency,4.51,14757093150.00
Internet Computer,Cryptocurrency,,13865666588.00
Bitcoin Cash,Cryptocurrency,0.94,12468402690.00
Chainlink,Cryptocurrency,1.31,11760328886.00
Litecoin,Cryptocurrency,0.36,11488006187.00
Polygon,Cryptocurrency,102.30,11428763134.00
Stellar,Cryptocurrency,1.85,8728138586.00
Binance USD,Cryptocurrency,0.00,8606870650.00
Solana,Cryptocurrency,14.57,7821998612.00
Ethereum Classic,Cryptocurrency,10.61,7703251077.00
VeChain,Cryptocurrency,4.65,6933540874.00
Wrapped Bitcoin,Cryptocurrency,0.22,6679381764.00
THETA,Cryptocurrency,2.33,6561576382.00
EOS,Cryptocurrency,1.31,5801063156.00
TRON,Cryptocurrency,1.68,5177808916.00
Filecoin,Cryptocurrency,2.08,5111238652.00
Dai,Cryptocurrency,0.00,4675104826.00
Monero,Cryptocurrency,0.92,4676283314.00
Aave,Cryptocurrency,2.65,4213775112.00
Neo,Cryptocurrency,2.58,3664384679.00
Klaytn,Cryptocurrency,1.84,3472381010.00
Maker,Cryptocurrency,4.70,3291026829.00
Bitcoin SV,Cryptocurrency,0.03,3136270428.00
SHIBA INU,Cryptocurrency,,3107726068.00
FTX Token,Cryptocurrency,4.43,2984483887.00
Tezos,Cryptocurrency,0.65,2914197018.00
IOTA,Cryptocurrency,2.56,2884277368.00
Crypto.com Coin,Cryptocurrency,0.89,2847349003.00
Cosmos,Cryptocurrency,1.17,2680938718.00
Kusama,Cryptocurrency,3.60,2709046893.00
PancakeSwap,Cryptocurrency,23.31,2654562741.00
Algorand,Cryptocurrency,1.14,2607342876.00
Huobi Token,Cryptocurrency,1.83,2576225584.00
Terra,Cryptocurrency,8.65,2556054003.00
BitTorrent,Cryptocurrency,11.45,2416761558.00
THORChain,Cryptocurrency,7.55,2361438141.00
Avalanche,Cryptocurrency,3.53,2159988604.00
UNUS SED LEO,Cryptocurrency,0.66,2151839566.00
Compound,Cryptocurrency,1.83,2149377074.00
Decred,Cryptocurrency,2.78,2016539861.00
Bitcoin BEP2,Cryptocurrency,0.27,1958468959.00
TerraUSD,Cryptocurrency,0.00,1953878105.00
Dash,Cryptocurrency,1.08,1861817483.00
Hedera Hashgraph,Cryptocurrency,5.68,1853860613.00
Zcash,Cryptocurrency,1.69,1814946042.00
Celsius,Cryptocurrency,0.32,1724280021.00
Elrond,Cryptocurrency,2.61,1648735758.00
NEM,Cryptocurrency,-0.18,1639037766.00
Theta Fuel,Cryptocurrency,8.06,1608377514.00
Chiliz,Cryptocurrency,12.04,1580826772.00
Telcoin,Cryptocurrency,175.56,1564480511.00
yearn.finance,Cryptocurrency,0.93,1544742146.00
Holo,Cryptocurrency,12.51,1493595460.00
SushiSwap,Cryptocurrency,2.29,1393271503.00
Waves,Cryptocurrency,1.20,1388265755.00
Synthetix,Cryptocurrency,0.42,1362983507.00
Helium,Cryptocurrency,10.44,1313211295.00
Enjin Coin,Cryptocurrency,10.34,1286840445.00
Paxos Standard,Cryptocurrency,0.00,1266451833.00
Decentraland,Cryptocurrency,8.41,1245387691.00
NEAR Protocol,Cryptocurrency,1.32,1227419108.00
Zilliqa,Cryptocurrency,0.34,1203974381.00
Horizen,Cryptocurrency,8.05,1188506301.00
Qtum,Cryptocurrency,4.03,1125248784.00
TrueUSD,Cryptocurrency,0.00,1125197608.00
Nexo,Cryptocurrency,2.44,1120198710.00
Stacks,Cryptocurrency,1.25,1111685497.00
Revain,Cryptocurrency,0.07,1064463793.00
Basic Attention Token,Cryptocurrency,2.46,1061155122.00
Bitcoin Gold,Cryptocurrency,5.88,1024358823.00
The Graph,Cryptocurrency,1.11,952408694.00
Nano,Cryptocurrency,5.68,917388402.00
Ontology,Cryptocurrency,1.37,916182345.00
Mdex,Cryptocurrency,,909768716.00
HUSD,Cryptocurrency,0.00,891409981.00
Harmony,Cryptocurrency,20.94,884873127.00
Bancor,Cryptocurrency,2.37,880518985.00
DigiByte,Cryptocurrency,1.28,870549926.00
OMG Network,Cryptocurrency,1.46,862861513.00
Siacoin,Cryptocurrency,3.99,809310721.00
0x,Cryptocurrency,1.53,798380714.00
OKB,Cryptocurrency,0.45,799094332.00
UMA,Cryptocurrency,0.63,783034602.00
SwissBorg,Cryptocurrency,2.05,779503025.00
BakeryToken,Cryptocurrency,261.86,779343417.00
Celo,Cryptocurrency,1.32,763129526.00
Fantom,Cryptocurrency,16.12,750590506.00
Ravencoin,Cryptocurrency,5.07,700277419.00
Ankr,Cryptocurrency,10.01,693343324.00
ICON,Cryptocurrency,1.38,675178347.00
XinFin Network,Cryptocurrency,9.91,656472476.00